neg,neu,pos,image
0.36179447,0.26571682,0.37248874,../../../images/500px_cc0/images/177177433_lone_tree.jpg
0.09785417,0.44184297,0.46030286,../../../images/500px_cc0/images/223329847_virginia_creeper.jpg
0.37400705,0.34243262,0.28356028,../../../images/500px_cc0/images/258824099_Gilia_tricolor.jpg
0.3551991,0.13545479,0.50934607,../../../images/500px_cc0/images/78781399_Nematobrycon_palmeri.jpg
0.19833592,0.2286325,0.57303166,../../../images/500px_cc0/images/78786583_Hygrophila_polysperma.jpg
0.38371202,0.23669936,0.3795886,../../../images/500px_cc0/images/212179907_her.jpg
0.41140532,0.3089521,0.27964258,../../../images/500px_cc0/images/130002695_Sparks.jpg
0.0697579,0.5095198,0.42072228,../../../images/500px_cc0/images/1011015162_Anemone-.jpg
0.14832954,0.5743034,0.27736706,../../../images/500px_cc0/images/85841635_Untitled.jpg
0.5272588,0.2650493,0.20769192,"../../../images/500px_cc0/images/287661253_Art_in_Cities,_Athens,_Greece-CC0_Royalty_free.jpg"
0.09294602,0.23630443,0.6707495,../../../images/500px_cc0/images/130002305_Sea.jpg
0.30912074,0.42115203,0.26972723,"../../../images/500px_cc0/images/287660881_Art_in_Cities,_Athens,_Greece-CC0_Royalty_free.jpg"
0.43302223,0.42823067,0.13874711,../../../images/500px_cc0/images/195782991_symmetry.jpg
0.17863542,0.5083882,0.3129763,../../../images/500px_cc0/images/253118977_sunset_over_BUD.jpg
0.19013034,0.54424375,0.26562586,../../../images/500px_cc0/images/147598739_ivy_on_fence.jpg
0.27653816,0.23735628,0.48610562,../../../images/500px_cc0/images/170149583_1_1_=_3.jpg
0.21546197,0.62998015,0.15455793,../../../images/500px_cc0/images/139398055_Mermaid-PicLiberum_com_0010.jpg
0.19479498,0.5047826,0.3004224,../../../images/500px_cc0/images/139253069_Bridge-PicLiberum_com_0007.jpg
0.3642046,0.3750365,0.26075885,../../../images/500px_cc0/images/286547675_Greek_Graffiti_noRape_noGirlRape.jpg
0.46880946,0.32121313,0.20997742,../../../images/500px_cc0/images/252756875_cornflower_seeds.jpg
0.42059729,0.5454607,0.03394197,../../../images/500px_cc0/images/174489205_Keresztespok_Cross_Orbweaver.jpg
0.04132376,0.14877519,0.809901,../../../images/500px_cc0/images/111241589_Tagetes.jpg
0.18777245,0.28368163,0.5285459,../../../images/500px_cc0/images/163075841_train_yourself_to_see_god_in_everything.jpg
0.05257315,0.5664063,0.38102052,../../../images/500px_cc0/images/207143029_MM00A-1704_LEX_CAR_URB_G6.jpg
0.41801152,0.46923244,0.11275612,../../../images/500px_cc0/images/112540127_something_with_alot_of_legs.jpg
0.20768592,0.525771,0.26654312,../../../images/500px_cc0/images/130002301_Boats.jpg
0.3250452,0.5015245,0.17343035,../../../images/500px_cc0/images/130002939_Relaxing.jpg
0.1778643,0.43847454,0.38366115,../../../images/500px_cc0/images/233459315_Behind_the_believer_is_a_reality.jpg
0.18599424,0.5190667,0.29493907,../../../images/500px_cc0/images/139228685_Icy-PicLiberum.com_0005.jpg
0.078431085,0.2320665,0.6895024,../../../images/500px_cc0/images/1011015218_Anemone-.jpg
0.18380554,0.27771637,0.53847814,../../../images/500px_cc0/images/265472269_bee.jpg
0.14021856,0.28645295,0.5733285,../../../images/aadb/images/farm1_286_19998340455_4629caa4ca_b.jpg
0.15048745,0.40797168,0.44154087,../../../images/aadb/images/farm1_306_20170706135_257c54aa95_b.jpg
0.117057465,0.46461743,0.41832513,../../../images/aadb/images/farm1_535_20128319006_de0a05376f_b.jpg
0.05219278,0.32791367,0.61989355,../../../images/aadb/images/farm1_453_19986871390_9188e09831_b.jpg
0.4003505,0.4543762,0.14527322,../../../images/aadb/images/farm1_329_19805177820_797174ca4c_b.jpg
0.3563164,0.33722728,0.30645633,../../../images/aadb/images/farm1_380_20103549952_74645fb33e_b.jpg
0.5570882,0.3183041,0.124607705,../../../images/aadb/images/farm1_392_20116153865_096e564d90_b.jpg
0.121951215,0.2756103,0.60243845,../../../images/aadb/images/farm1_263_20317768422_4a8537aff4_b.jpg
0.2871685,0.38899308,0.32383838,../../../images/aadb/images/farm1_356_20254094322_628ccf5c08_b.jpg
0.35658565,0.49670893,0.14670546,../../../images/aadb/images/farm1_342_20193681471_223d834818_b.jpg
0.20988993,0.18287,0.60724,../../../images/aadb/images/farm1_393_20075234966_70e5027248_b.jpg
0.13794582,0.3897537,0.4723006,../../../images/aadb/images/farm1_315_20087406900_266a4da72a_b.jpg
0.14559785,0.44370887,0.4106933,../../../images/aadb/images/farm1_283_20279460231_e5a417129d_b.jpg
0.17082392,0.50348395,0.32569215,../../../images/aadb/images/farm1_345_20142951888_f2b0526362_b.jpg
0.21554846,0.3194103,0.46504128,../../../images/aadb/images/farm1_375_20274692905_a564199b2b_b.jpg
0.42351925,0.37449026,0.20199049,../../../images/aadb/images/farm1_471_19449545644_8e7c127828_b.jpg
0.2384722,0.33796662,0.42356113,../../../images/aadb/images/farm4_3690_20155850165_68afe0b24d_b.jpg
0.18439828,0.3940248,0.4215769,../../../images/aadb/images/farm1_351_20168618246_3b80c8a1ec_b.jpg
0.44419742,0.14058113,0.41522145,../../../images/aadb/images/farm1_280_20093792980_f50c7a0843_b.jpg
0.36874235,0.43848193,0.19277582,../../../images/aadb/images/farm1_291_20280614061_476d44a107_b.jpg
0.16013639,0.683264,0.15659957,../../../images/aadb/images/farm4_3678_19808482618_19725e36b9_b.jpg
0.40782282,0.2547814,0.33739573,../../../images/aadb/images/farm1_290_19802576129_70fec5a254_b.jpg
0.30648544,0.49659935,0.19691521,../../../images/aadb/images/farm4_3683_20129520191_ca36630f94_b.jpg
0.05248447,0.44144312,0.5060724,../../../images/aadb/images/farm1_324_20181408545_d4c68ea39b_b.jpg
0.055689838,0.39030474,0.55400544,../../../images/aadb/images/farm1_431_20189822091_6aa7d58d18_b.jpg
0.22686492,0.53931016,0.23382485,../../../images/aadb/images/farm1_259_19904572149_5e703aba8f_b.jpg
0.06514192,0.23096128,0.7038968,../../../images/aadb/images/farm1_265_19374350573_605ed03e40_b.jpg
0.15916255,0.31030324,0.5305342,../../../images/aadb/images/farm1_346_20104494812_a9031d331a_b.jpg
0.14779331,0.5739486,0.27825806,../../../images/aadb/images/farm1_402_20186695415_eb1cfdb28c_b.jpg
0.079946995,0.24470532,0.6753476,../../../images/aadb/images/farm1_561_19795891099_319a4ff595_b.jpg
0.14454597,0.30982044,0.5456336,../../../images/aadb/images/farm1_344_20256880402_f9749a5c67_b.jpg
0.14811483,0.35644078,0.49544442,../../../images/aadb/images/farm1_351_19590339854_d2a324916b_b.jpg
0.31197095,0.2738523,0.41417673,../../../images/aadb/images/farm1_353_20065672326_fea4ccbb04_b.jpg
0.042844,0.3717881,0.58536786,../../../images/aadb/images/farm1_357_20094651972_f1d33dbfb7_b.jpg
0.32897112,0.45721665,0.21381223,../../../images/aadb/images/farm1_369_20189147701_623e9014e0_b.jpg
0.36542517,0.31921858,0.3153563,../../../images/aadb/images/farm1_367_19986592222_8d16558f5c_b.jpg
0.25034297,0.5366898,0.2129673,../../../images/aadb/images/farm1_367_20204921381_2e6425892d_b.jpg
0.5467292,0.35723534,0.096035466,../../../images/aadb/images/farm1_336_20161142751_c10d128c7d_b.jpg
0.16701381,0.13237692,0.70060927,../../../images/aadb/images/farm1_276_19487779654_93e8643942_b.jpg
0.13892712,0.45895952,0.40211335,../../../images/aadb/images/farm4_3834_20201553675_ce84dd04c1_b.jpg
